age,agreeable_score,extraversion_score,openness_score,conscientiousness_score,neuroticism_score,entries_count,Cluster
11,42.63,59.45,41.36,42.39,49.96,294,0
12,41.27,59.2,45.19,40.31,49.72,810,0
13,40.61,57.32,47.9,36.6,54.25,2876,0
14,39.96,55.62,47.8,34.89,55.67,5820,0
15,41.99,54.69,48.79,35.68,55.48,10514,0
16,43.11,55.58,48.58,37.35,55.2,17258,0
17,44.42,56.03,47.0,39.66,53.28,21546,0
18,47.49,53.71,47.88,43.25,52.33,25637,0
19,49.45,51.53,48.66,45.48,52.17,23326,0
20,49.47,51.36,48.76,48.55,50.54,22013,0
21,49.61,51.67,49.73,49.62,50.06,20289,0
22,49.28,50.39,51.16,50.23,50.17,15341,0
23,49.57,50.07,53.1,51.27,49.89,13149,0
24,49.6,49.6,53.8,51.97,50.09,11334,0
25,49.98,48.09,53.48,53.32,49.87,10364,0
26,49.87,47.68,53.06,53.17,50.23,9088,0
27,50.09,47.48,52.7,54.26,49.46,8036,0
28,49.89,47.5,52.1,55.08,48.98,7151,0
29,51.33,47.2,52.14,55.7,49.23,6418,0
30,51.03,46.35,50.81,56.31,49.05,6668,0
31,51.46,46.4,51.77,56.39,48.91,5426,0
32,51.82,46.46,51.8,57.1,48.83,5118,0
33,52.15,46.03,51.28,57.6,48.77,4483,0
34,53.33,45.65,50.63,57.83,47.31,4273,0
35,54.26,44.96,49.63,58.8,46.78,3986,1
36,54.85,44.4,50.04,59.27,46.88,3502,1
37,54.43,44.08,49.4,60.65,46.21,3255,1
38,56.73,44.83,49.93,61.06,46.27,3131,1
39,57.88,44.13,50.09,60.51,45.38,2904,1
40,57.86,44.41,49.51,62.4,44.72,3021,1
41,59.46,43.42,50.08,62.06,44.16,2524,1
42,59.08,44.55,49.8,62.49,43.89,2499,1
43,60.16,43.24,48.72,64.38,43.21,2421,1
44,59.93,43.21,50.36,63.5,42.26,2186,1
45,62.05,42.59,49.7,64.61,42.79,2410,1
46,61.98,43.92,50.63,65.6,42.2,1950,1
47,62.4,41.69,49.72,64.06,43.47,1880,1
48,62.39,41.69,50.33,63.76,43.63,1752,1
49,62.94,41.55,51.25,64.56,41.84,1581,1
50,63.67,42.01,50.41,65.73,40.46,1755,1
51,63.66,40.31,50.25,65.25,41.21,1281,1
52,64.81,41.04,50.13,66.21,39.08,1220,1
53,65.45,42.58,50.43,66.76,39.7,1064,1
54,64.54,41.22,49.49,67.65,38.88,1010,1
55,64.44,40.88,52.36,66.21,38.32,824,1
56,64.72,39.81,50.49,66.92,36.71,690,1
57,63.19,41.86,52.44,67.28,36.68,558,1
58,63.02,40.33,47.69,67.96,36.46,473,1
59,64.71,41.43,54.42,67.34,37.22,411,1
60,65.75,40.93,49.08,68.14,34.32,369,1
61,63.83,41.93,51.31,70.44,32.87,228,1
62,66.19,41.57,50.88,68.88,33.98,252,1
63,60.28,35.4,49.43,67.81,34.57,136,1
64,62.46,36.23,49.7,69.98,36.51,106,1
65,69.22,37.99,49.66,70.13,36.9,119,1
